ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
2762,0,Australia,0,143.117,-33.5795,204295.58,11/8/05,11/13/05,News,1,1000,Heavy rain,1
2763,0,France,0,3.00636,42.9478,1981.92,11/15/05,11/17/05,News,2,1000,Heavy rain,1
2764,0,UK,0,-4.30097,51.9151,213.269,11/11/05,11/11/05,News,0,0,Heavy rain,2
2765,0,Jamaica,0,-76.937,18.1724,761.612,11/15/05,11/17/05,News,3,0,Heavy rain,1
2766,0,Vietnam,0,108.104,15.5251,16015.58,11/18/05,11/21/05,News,5,3000,Heavy rain,1
2767,0,Sri Lanka,0,79.9473,7.90959,30135.72,11/21/05,11/23/05,News,6,8000,Heavy rain,1
2768,0,Thailand,Malaysia,100.124,7.20467,70520.88,11/23/05,1/12/06,News,69,700000,Monsoonal rain,2
2769,0,Albania,0,20.2064,40.4745,10408.03,11/30/05,12/3/05,News,3,0,Heavy rain,1
2770,0,Vietnam,0,108.583,13.607,63089.06,12/4/05,12/24/05,News,62,20000,Heavy rain,1
2771,0,Canada,0,-98.249,51.8455,1834.71,12/5/05,12/16/05,News,0,56,Ice jam/break-up,2
2772,0,Phillipines,0,119.171,10.0917,4629.7,12/5/05,12/29/05,News,9,60000,Monsoonal rain,1
2773,0,Malawi,Mozambique,37.1689,-17.2365,224148.16,12/22/05,2/7/06,News,23,50000,Heavy rain,2
2774,0,Western Sahara,0,-10.8789,27.1188,114098.67,12/22/05,12/26/05,News,0,3000,Heavy rain,2
2775,0,Congo Republic,0,15.2131,-4.13276,1102.97,12/24/05,12/28/05,News,1,0,Heavy rain,1
2776,0,USA,0,-121.099,39.494,140515.03,12/31/05,1/18/06,News,0,4000,Heavy rain,1
2777,FL-2006-000001-IDN,Indonesia,0,113.342,-8.02272,2550.79,1/1/06,1/4/06,News,125,7781,Monsoonal rain,1
2778,0,Hungary,0,19.5834,47.7171,45838.45,1/3/06,1/11/06,News,0,0,Heavy rain,1
2779,0,Indonesia,0,108.215,-6.38134,912.764,1/8/06,1/12/06,News,0,6000,Heavy rain,1
2780,0,Australia,0,116.936,-23.2603,808059.61,1/9/06,1/31/06,News,0,1500,Tropical Cyclone,2
2781,0,Trinidad,0,-61.2393,10.3192,2252.49,1/14/06,1/17/06,News,0,600,Heavy rain,2
2782,FL-2006-000009-GUY,Guyana,0,-58.6627,6.89182,24216.56,1/8/06,2/14/06,News,20,5000,Heavy rain,1
2783,0,Namibia,0,15.7126,-25.4775,1297.55,1/18/06,1/18/06,News,0,0,Heavy rain,1
2784,0,Greece,Bulgaria,26.4726,41.5521,4583.43,1/2/06,1/20/06,News,0,0,Snowmelt,1
2785,0,Philippines,0,121.817,17.0173,63468.41,1/26/06,2/5/06,News,4,256641,Heavy rain,1
2786,FL-2006-000010-BOL,Bolivia,0,-63.4256,-16.0334,955843.2,1/25/06,4/17/06,News,23,100000,Heavy rain,1
2787,FL-2006-000017-BRA,Brazil,0,-43.3569,-22.5574,9335.39,1/27/06,1/30/06,News,12,0,Brief torrential rain,1
2788,0,Indonesia,0,117.291,-8.44131,47810.17,1/22/06,1/27/06,News,11,3000,Monsoonal rain,1
2789,0,Indonesia,0,108.593,-6.8528,73074.39,1/26/06,2/14/06,News,19,10000,Monsoonal rain,1
2790,0,Norway,0,11.9318,64.1501,41523.05,1/30/06,2/4/06,News,1,200,Heavy rain,2
2791,0,Fiji,0,177.68,-17.8194,6258.01,1/29/06,2/6/06,News,0,168,Tropical Cyclone,1
2792,0,Saudi Arabia,Jordan,35.5811,29.7338,22619.33,2/1/06,2/6/06,News,6,0,Heavy rain,1
2793,0,Tanzania,0,32.523,-5.32376,75937.07,2/3/06,2/12/06,News,1,938,Heavy rain,1
