Date,aapl,cisco,ibm,amzn
1/6/14,72.59389196,19.62868548,166.4491159,393.63
1/7/14,72.07439179,19.89622776,169.7691493,398.03
1/8/14,72.5311649,19.88106703,168.2120447,401.92
1/9/14,71.60480635,19.70003009,167.6840609,401.01
1/10/14,71.12714647,19.81596508,167.5766744,397.66
1/13/14,71.49950497,19.78921085,164.8025225,390.98
1/14/14,72.92220805,19.98540852,166.3775249,397.54
1/15/14,74.3862843,20.31537734,168.0062205,395.87
1/16/14,73.97121802,20.31537734,168.919006,395.8
1/17/14,72.1588064,20.27970503,170.1092067,399.61
1/21/14,73.27988575,20.35996772,168.623693,407.05
1/22/14,73.60553261,20.3688858,163.0932869,404.54
1/23/14,74.22879935,20.11917966,163.522833,399.87
1/24/14,72.87950027,19.79812893,160.75763,387.6
1/27/14,73.47073617,19.6197674,159.2005253,386.28
1/28/14,67.59841574,19.3968155,158.2608932,394.43
1/29/14,66.83101024,19.30763474,157.8581938,384.2
1/30/14,66.70181919,19.59836402,158.717286,403.01
1/31/14,66.81099096,19.53950472,158.1087623,358.69
2/3/14,66.93511046,19.21845398,154.7260867,346.15
2/4/14,67.90404333,19.44140588,154.6723935,347.95
2/5/14,68.41119828,19.60193125,155.9252363,346.45
2/6/14,68.8075799,20.05675313,157.1601813,354.59
2/7/14,69.77019595,20.2172785,159.4815489,361.08
2/10/14,71.02011998,20.35996772,159.3825759,360.87
2/11/14,71.95588481,20.25295081,161.6859483,361.79
2/12/14,71.95051457,20.37780387,162.1718159,349.25
2/13/14,73.09303375,19.86055546,163.6114237,357.2
2/14/14,73.03396108,20.11917966,165.2759702,357.35
2/18/14,73.30247322,19.98540852,164.8260928,353.65
2/19/14,72.14518588,19.86947353,164.6101516,347.38
2/20/14,71.3101131,19.88730969,165.7888305,349.8
2/21/14,70.51800227,19.73570239,164.4661908,346.76
2/24/14,70.82679124,19.72678432,165.060029,351.78
2/25/14,70.0897254,19.47707819,164.8620829,358.32
2/26/14,69.4573793,19.55734087,165.6088795,359.8
2/27/14,70.84290197,19.54842279,166.6975829,360.13
2/28/14,70.65091578,19.44140588,166.6076074,362.1
3/3/14,70.85498502,19.23629013,165.7888305,359.78
3/4/14,71.32219615,19.45924203,167.750296,363.9
3/5/14,71.47256295,19.50383241,168.3801244,372.37
3/6/14,71.25641067,19.45924203,168.8300019,372.16
3/7/14,71.21479129,19.37897935,168.8659921,372.06
3/10/14,71.27923421,19.34330704,167.7053083,370.53
3/11/14,71.9733381,19.27196244,168.0382176,368.82
3/12/14,72.04315126,19.45924203,167.55235,370.64
3/13/14,71.24298507,19.19169975,165.4649187,371.51
3/14/14,70.44281887,19.04000328,163.944333,373.74
3/17/14,70.71804382,19.18278168,167.1834505,375.04
3/18/14,71.34367712,19.28979859,168.0832053,378.77
3/19/14,71.32488127,19.28979859,166.1937201,373.23
3/20/14,70.98118572,19.46816011,169.0639381,368.97
3/21/14,71.54103355,19.29871666,167.9572397,360.62
3/24/14,72.38953193,19.23629013,169.3788523,351.85
3/25/14,73.16821715,19.92298199,175.4881878,354.71
3/26/14,72.46874301,19.90514584,173.3107811,343.41
3/27/14,72.15726892,19.63760356,170.800465,338.47
3/28/14,72.07671528,19.91406391,171.358313,338.29
3/31/14,72.06060455,19.98986756,173.1938129,336.365
4/1/14,72.71980187,20.77019922,175.0023202,342.99
4/2/14,72.84063233,20.67129351,174.1475531,341.96
4/3/14,72.3358295,20.76120779,173.3737639,333.62
4/4/14,71.40006467,20.42106206,172.5459894,323
4/7/14,70.27902646,20.54541351,175.0203153,317.76
4/8/14,70.27499878,20.62633637,173.9136168,327.07
4/9/14,71.19868056,20.78818208,176.9277956,331.805
4/10/14,70.28036902,20.36558495,176.064031,317.11
4/11/14,69.76079802,20.19474781,175.6231511,311.73
4/14/14,70.03870809,20.54541351,177.9445186,315.91
4/15/14,69.53926208,20.58137923,177.2697025,316.08
4/16/14,69.68024438,20.70725922,176.7118544,323.68
4/17/14,70.47638289,20.86910493,170.9624209,324.91
4/21/14,71.31279822,21.03994207,172.9958669,330.87
4/22/14,71.38381969,21.14783921,172.8878963,329.32
4/23/14,70.45087424,21.12985635,172.5099993,324.58
4/24/14,76.22657049,20.97700207,171.1513694,337.15
4/25/14,76.78641831,20.68028494,170.620514,303.83
4/28/14,79.76019033,20.69826779,173.7786536,296.58
4/29/14,79.52389964,20.82414779,175.5511707,300.38
4/30/14,79.22316604,20.77919065,176.7748373,304.13
5/1/14,79.40978198,20.68927637,174.129558,307.89
5/2/14,79.55746366,20.62633637,172.2490703,308.01
